id,name,type,discount_percent,tile_count,current_gross_cents,current_final_cents,new_gross_cents,new_final_cents,delta_cents,delta_percent,tier_1_tiles,tier_2_tiles,tier_3_tiles,tier_4_tiles,tier_5_tiles,tier_1_charged_tiles,tier_2_charged_tiles,tier_3_charged_tiles,tier_4_charged_tiles,tier_5_charged_tiles
world,World,world,50,217324,1794819,897409,1796478,898239,830,0.09,101313,32437,42913,32838,7823,20294,15078,23361,21776,5660
africa,Africa,continent,50,3905,310439,155219,310439,155219,0,0.0,603,749,1349,963,241,574,714,1326,952,241
asia,Asia,continent,50,10041,524600,262300,525227,262613,313,0.12,3086,1770,2277,2179,729,2810,1679,2206,2157,729
australia,Australia,continent,50,1201,42262,21131,42262,21131,0,0.0,627,286,171,89,28,598,272,166,89,28
europe,Europe,continent,50,1630,89930,44965,89933,44966,1,0.0,73,240,541,657,119,51,215,527,648,119
north_america,North America,continent,50,6400,175665,87832,174750,87375,-457,-0.52,3908,887,919,591,95,3122,866,904,584,95
south_america,South America,continent,50,2426,194127,97063,194127,97063,0,0.0,253,514,934,597,128,218,510,925,591,128
african_great_lakes,African Great Lakes,macro_region,30,679,74712,52298,74712,52298,0,0.0,7,96,287,227,62,7,96,287,227,62
andean_south_america,Andean South America,macro_region,30,970,71581,50107,71581,50107,0,0.0,140,206,312,248,64,111,204,306,243,64
balkans,Balkans,macro_region,30,225,16391,11474,16391,11474,0,0.0,1,12,69,114,29,0,10,68,113,29
baltics,Baltics,macro_region,30,74,4121,2885,4121,2885,0,0.0,0,10,34,23,7,0,9,34,23,7
canada,Canada,macro_region,30,3152,52433,36703,53517,37462,759,2.07,2331,454,224,120,23,2182,448,222,119,23
caribbean,Caribbean,macro_region,30,193,6232,4362,6232,4362,0,0.0,6,29,73,63,22,3,21,67,61,22
caucasus,Caucasus,macro_region,30,61,5930,4151,5930,4151,0,0.0,0,0,15,33,13,0,0,14,33,13
central_africa,Central Africa,macro_region,30,896,83118,58183,83118,58183,0,0.0,89,178,352,222,55,89,175,350,221,55
central_asia,Central Asia,macro_region,30,775,48976,34283,48976,34283,0,0.0,86,227,255,169,38,86,227,255,169,38
central_europe,Central Europe,macro_region,30,255,22151,15506,22151,15506,0,0.0,0,1,50,167,37,0,1,50,166,37
china,China,macro_region,30,1599,142572,99800,142572,99800,0,0.0,186,230,384,503,296,180,230,380,499,296
east_africa,East Africa,macro_region,30,1042,93005,65103,93005,65103,0,0.0,36,174,442,318,72,17,161,428,315,72
east_asia,East Asia,macro_region,30,2065,159059,111341,159059,111341,0,0.0,272,343,497,621,332,253,327,473,608,332
eastern_australia,Eastern Australia,macro_region,30,496,22078,15455,22078,15455,0,0.0,160,149,112,58,17,158,143,110,58,17
eastern_canada,Eastern Canada,macro_region,30,807,21869,15308,21848,15294,-14,-0.09,423,187,111,70,16,395,183,109,69,16
eastern_europe,Eastern Europe,macro_region,30,400,34032,23822,34032,23822,0,0.0,0,0,115,230,55,0,0,115,229,55
guianas,Guianas,macro_region,30,92,5753,4027,5753,4027,0,0.0,18,27,28,15,4,18,27,28,15,4
gulf_states,Gulf States,macro_region,30,387,29837,20886,29837,20886,0,0.0,54,76,126,96,35,54,73,124,96,35
horn_of_africa,Horn of Africa,macro_region,30,292,26258,18381,26258,18381,0,0.0,7,65,118,82,20,6,65,117,82,20
levant,Levant,macro_region,30,248,23396,16377,23396,16377,0,0.0,1,6,59,126,56,1,5,56,126,56
mediterranean_europe,Mediterranean Europe,macro_region,30,525,33305,23313,33305,23313,0,0.0,1,23,192,258,51,0,16,184,252,51
midwestern_united_states,Midwestern United States,macro_region,30,422,29676,20773,29676,20773,0,0.0,8,113,180,107,14,6,113,180,107,14
north_africa,North Africa,macro_region,30,1270,79676,55773,79676,55773,0,0.0,385,262,337,230,56,384,261,333,230,56
northeastern_united_states,Northeastern United States,macro_region,30,125,9777,6844,9777,6844,0,0.0,0,12,47,46,20,0,12,47,46,20
northern_canada,Northern Canada,macro_region,30,1786,12551,8786,13657,9560,774,8.81,1651,99,22,11,3,1535,98,22,11,3
northern_europe,Northern Europe,macro_region,30,718,23277,16294,23280,16296,2,0.01,72,216,240,159,31,51,198,234,157,31
sahel,Sahel,macro_region,30,1102,83783,58648,83783,58648,0,0.0,306,220,326,195,55,306,220,325,195,55
scandinavia,Scandinavia,macro_region,30,515,14216,9951,14219,9953,2,0.02,64,178,165,92,16,50,168,160,90,16
south_asia,South Asia,macro_region,30,846,89787,62851,89787,62851,0,0.0,16,81,194,401,154,13,70,191,399,154
southeast_asia,Southeast Asia,macro_region,30,1163,69657,48760,69657,48760,0,0.0,49,173,439,405,97,26,134,404,400,97
southern_africa,Southern Africa,macro_region,30,842,72588,50812,72588,50812,0,0.0,50,180,322,235,55,49,178,318,233,55
southern_cone,Southern Cone,macro_region,30,758,48413,33889,48413,33889,0,0.0,116,182,279,152,29,93,182,279,149,29
southern_europe,Southern Europe,macro_region,30,452,28781,20147,28781,20147,0,0.0,1,20,152,225,54,0,14,145,218,54
southern_united_states,Southern United States,macro_region,30,432,38977,27284,38977,27284,0,0.0,0,26,195,172,39,0,26,193,171,39
united_states,United States,macro_region,30,2040,106731,74712,106739,74717,5,0.01,539,407,619,405,70,456,397,610,402,70
west_africa,West Africa,macro_region,30,834,72473,50731,72473,50731,0,0.0,179,102,234,235,84,179,98,233,233,84
west_asia,West Asia,macro_region,30,994,85325,59727,85325,59727,0,0.0,64,124,315,368,123,64,118,308,368,123
western_and_central_australia,Western & Central Australia,macro_region,30,774,23291,16304,23291,16304,0,0.0,493,154,71,40,16,466,146,68,40,16
western_canada,Western Canada,macro_region,30,722,21760,15232,21773,15241,9,0.06,352,200,108,52,10,346,199,108,52,10
western_europe,Western Europe,macro_region,30,416,27530,19271,27530,19271,0,0.0,8,33,124,203,48,1,25,121,202,48
western_united_states,Western United States,macro_region,30,1211,41961,29373,41969,29378,5,0.02,532,281,251,125,22,451,271,244,123,22
afghanistan,Afghanistan,country,20,139,13243,10594,13243,10594,0,0.0,2,24,56,38,19,2,24,56,38,19
alabama,Alabama,country,20,39,3853,3082,3853,3082,0,0.0,0,1,19,17,2,0,1,19,17,2
